External Angle (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
4.32E+01;9.39E+00;1.11E-03
4.30E+01;9.41E+00;1.87E-03
4.29E+01;9.46E+00;1.11E-03
4.28E+01;9.49E+00;7.14E-04
4.27E+01;9.52E+00;1.60E-03
4.26E+01;9.55E+00;2.49E-03
4.25E+01;9.57E+00;1.87E-03
4.24E+01;9.58E+00;7.14E-04
4.23E+01;9.60E+00;8.70E-04
4.21E+01;9.61E+00;5.07E-04
4.20E+01;9.62E+00;1.78E-15
4.19E+01;9.63E+00;1.78E-15
4.18E+01;9.64E+00;1.92E-03
4.17E+01;9.64E+00;2.31E-03
4.16E+01;9.65E+00;2.24E-03
4.15E+01;9.65E+00;1.96E-03
4.14E+01;9.66E+00;2.42E-03
4.12E+01;9.66E+00;3.55E-15
4.11E+01;9.66E+00;1.38E-03
4.10E+01;9.67E+00;2.00E-03
4.09E+01;9.67E+00;0.00E+00
4.08E+01;9.67E+00;0.00E+00
4.07E+01;9.67E+00;1.72E-03
4.06E+01;9.67E+00;2.48E-03
4.05E+01;9.67E+00;1.11E-03
4.03E+01;9.67E+00;9.99E-04
4.02E+01;9.67E+00;5.07E-04
4.01E+01;9.67E+00;1.21E-03
4.00E+01;9.67E+00;1.46E-03
3.99E+01;9.67E+00;2.00E-03
3.98E+01;9.67E+00;2.49E-03
3.97E+01;9.67E+00;1.11E-03
3.96E+01;9.67E+00;9.99E-04
3.94E+01;9.66E+00;5.07E-04
3.93E+01;9.66E+00;3.55E-15
3.92E+01;9.66E+00;1.77E-03
3.91E+01;9.66E+00;1.46E-03
3.90E+01;9.65E+00;0.00E+00
3.89E+01;9.65E+00;1.66E-03
3.88E+01;9.65E+00;2.26E-03
3.87E+01;9.65E+00;5.07E-04
3.86E+01;9.65E+00;5.07E-04
3.84E+01;9.65E+00;2.24E-03
3.83E+01;9.65E+00;2.24E-03
3.82E+01;9.64E+00;8.70E-04
3.81E+01;9.64E+00;1.78E-15
3.80E+01;9.64E+00;5.07E-04
3.79E+01;9.64E+00;1.78E-15
3.78E+01;9.64E+00;1.66E-03
3.77E+01;9.64E+00;2.55E-03
3.75E+01;9.64E+00;1.72E-03
3.74E+01;9.64E+00;1.21E-03
3.73E+01;9.64E+00;8.70E-04
3.72E+01;9.64E+00;0.00E+00
3.71E+01;9.64E+00;0.00E+00
3.70E+01;9.64E+00;0.00E+00
3.69E+01;9.64E+00;0.00E+00
3.68E+01;9.64E+00;5.07E-04
3.66E+01;9.64E+00;9.99E-04
3.65E+01;9.64E+00;1.46E-03
3.64E+01;9.64E+00;1.11E-03
3.63E+01;9.64E+00;0.00E+00
3.62E+01;9.64E+00;0.00E+00
3.61E+01;9.64E+00;0.00E+00
3.60E+01;9.64E+00;5.07E-04
3.59E+01;9.64E+00;0.00E+00
3.57E+01;9.64E+00;7.14E-04
3.56E+01;9.64E+00;8.70E-04
3.55E+01;9.64E+00;1.21E-03
3.54E+01;9.64E+00;1.66E-03
3.53E+01;9.64E+00;1.82E-03
3.52E+01;9.64E+00;2.15E-03
3.51E+01;9.64E+00;2.40E-03
3.50E+01;9.64E+00;2.11E-03
3.48E+01;9.64E+00;2.52E-03
3.47E+01;9.64E+00;2.55E-03
3.46E+01;9.64E+00;1.82E-03
3.45E+01;9.64E+00;2.18E-03
3.44E+01;9.64E+00;2.21E-03
3.43E+01;9.64E+00;1.87E-03
3.42E+01;9.64E+00;1.77E-03
3.41E+01;9.64E+00;1.92E-03
3.39E+01;9.64E+00;1.77E-03
3.38E+01;9.64E+00;1.21E-03
3.37E+01;9.64E+00;9.99E-04
3.36E+01;9.64E+00;1.92E-03
3.35E+01;9.64E+00;1.72E-03
3.34E+01;9.64E+00;1.72E-03
3.33E+01;9.64E+00;1.87E-03
3.32E+01;9.64E+00;2.21E-03
3.30E+01;9.64E+00;2.18E-03
3.29E+01;9.64E+00;2.55E-03
3.28E+01;9.64E+00;2.43E-03
3.27E+01;9.64E+00;2.54E-03
3.26E+01;9.64E+00;2.45E-03
3.25E+01;9.64E+00;2.46E-03
3.24E+01;9.64E+00;2.40E-03
3.23E+01;9.64E+00;2.40E-03
3.21E+01;9.64E+00;2.49E-03
3.20E+01;9.64E+00;2.54E-03
3.19E+01;9.64E+00;2.55E-03
3.18E+01;9.64E+00;2.52E-03
3.17E+01;9.64E+00;2.48E-03
3.16E+01;9.64E+00;2.43E-03
3.15E+01;9.64E+00;2.48E-03
3.14E+01;9.64E+00;2.34E-03
3.12E+01;9.64E+00;2.11E-03
3.11E+01;9.64E+00;1.46E-03
3.10E+01;9.64E+00;1.72E-03
3.09E+01;9.64E+00;1.92E-03
3.08E+01;9.64E+00;2.48E-03
3.07E+01;9.64E+00;2.51E-03
3.06E+01;9.64E+00;1.92E-03
3.05E+01;9.64E+00;2.00E-03
3.03E+01;9.64E+00;1.46E-03
3.02E+01;9.64E+00;1.87E-03
3.01E+01;9.64E+00;2.04E-03
